nomebusca;url;coordenadas
12 calle entre 6 y 7 avenida Puerto Barrios, Izabal Izabal, IZAGuatemalaPUERTO BARRIOS;https://www.google.com.br/maps/search/12+calle+entre+6+y+7+avenida+Puerto+Barrios,+Izabal+Izabal,+IZAGuatemalaPUERTO+BARRIOS/@15.7098743,-88.6360182,13z?entry=ttu;15.7098743,-88.6360182,13
Calzada Guatemala km 381.5 salida a Flores, PoptÃºn, PetÃ©n PetÃ©n, PETGuatemalaPOPTÃšN;https://www.google.com.br/maps/search/Calzada+Guatemala+km+381.5+salida+a+Flores,+Popt%C3%83%C2%BAn,+Pet%C3%83%C2%A9n+Pet%C3%83%C2%A9n,+PETGuatemalaPOPT%C3%83%C5%A1N/@14.5930324,-90.5905083,12z/data=!3m1!4b1?entry=ttu;14.5930324,-90.5905083,12
20 Calle 12-84 Zona 10 Plaza Ferco Guatemala, GTGuatemalaCIUDAD DE GUATEMALA;https://www.google.com.br/maps/place/Ferco+%7C+20+calle/@14.58875,-90.5101527,17z/data=!4m6!3m5!1s0x8589a3c01f49a2f3:0x49e395822ab51aeb!8m2!3d14.58875!4d-90.5075778!16s%2Fg%2F11b66hc4mx?entry=ttu;14.58875,-90.5101527
20 Calle 12-84 Zona 10, Guatemala, GuatemalaGuatemalaCIUDAD DE GUATEMALA;https://www.google.com.br/maps/place/20+Calle+12-84,+Ciudad+de+Guatemala+01010,+Guatemala/@14.5887534,-90.5101603,17z/data=!4m6!3m5!1s0x8589a3c01b13458b:0x283b7c511a2628ca!8m2!3d14.5887534!4d-90.5075854!16s%2Fg%2F11h_wzfvyv?entry=ttu;14.5887534,-90.5101603
28 Av. 6-60 Parque Comercial Majadas zona 11, Guatemala, GTGuatemalaCIUDAD DE GUATEMALA;https://www.google.com.br/maps/search/28+Av.+6-60+Parque+Comercial+Majadas+zona+11,+Guatemala,+GTGuatemalaCIUDAD+DE+GUATEMALA/@14.6219879,-90.5630782,17z/data=!3m1!4b1?entry=ttu;14.6219879,-90.5630782
Km. 16.3 Carretera a El Salvador, Santa Catarina Pinula Guatemala, GTGuatemalaSANTA CATARINA PINULA;https://www.google.com.br/maps/search/Km.+16.3+Carretera+a+El+Salvador,+Santa+Catarina+Pinula+Guatemala,+GTGuatemalaSANTA+CATARINA+PINULA/@14.5709527,-90.4860526,17z/data=!3m1!4b1?entry=ttu;14.5709527,-90.4860526
Calzada Roosevelt 34-94 zona 7, Guatemala, GTGuatemalaCIUDAD DE GUATEMALA;https://www.google.com.br/maps/search/Calzada+Roosevelt+34-94+zona+7,+Guatemala,+GTGuatemalaCIUDAD+DE+GUATEMALA/@14.5709419,-90.5246778,13z/data=!3m1!4b1?entry=ttu;14.5709419,-90.5246778,13
Km 16.3 Carretera a El Salvador en direcciÃ³n a Ciudad de Guatemala Guatemala, GuatemalaGuatemalaCIUDAD DE GUATEMALA;https://www.google.com.br/maps/search/Km+16.3+Carretera+a+El+Salvador+en+direcci%C3%83%C2%B3n+a+Ciudad+de+Guatemala+Guatemala,+GuatemalaGuatemalaCIUDAD+DE+GUATEMALA/@14.5716968,-90.4882396,17z/data=!3m1!4b1?entry=ttu;14.5716968,-90.4882396
Avenida Vicente Cotza, entrada barrio El remolino morales Izabal Izabal, MoralesGuatemalaMORALES;https://www.google.com.br/maps/place/Morales+izabal/@14.7637392,-90.1052929,17z/data=!4m6!3m5!1s0x8589e5fbc88e1f5b:0x8d68fc8241c27097!8m2!3d14.7637392!4d-90.102718!16s%2Fg%2F11tjw5nvk6?entry=ttu;14.7637392,-90.1052929
Avenida Francisco Archila 6-57 zona 6, Barrio El Porvenir, San Benito, PetÃ©n San Benito, PETGuatemalaSAN BENITO;https://www.google.com.br/maps/search/Avenida+Francisco+Archila+6-57+zona+6,+Barrio+El+Porvenir,+San+Benito,+Pet%C3%83%C2%A9n+San+Benito,+PETGuatemalaSAN+BENITO/@14.6752748,-90.5260384,13z?entry=ttu;14.6752748,-90.5260384,13
